,Windows,Mac,Linux,engine,release_date,genre,theme,players,score_final,rating,link
1,True, False, False,Unity,Released Apr 14 2013,First Person Shooter,Horror,Single Player,6.5,4 v, http://indiedb.com/games/kriegderlnder-apocalypse-2
5,True, True, True,Flixel,Released Sep 6 2015,Puzzle Compilation,Education,Single Player,8.0,1 v, http://indiedb.com/games/box-cooperation-2
6,True, False, False,Slick 2D / Slick AE,Released May 14 2014,Turn Based Tactics,Fantasy,Single & Multiplayer,4.0,1 v, http://indiedb.com/games/veridia-tactics
8,True, False, True,Ogre Engine,Released Mar 20 2015,Third Person Shooter,Sci-Fi,Single & Multiplayer,6.0,24 , http://indiedb.com/games/the-platform-shooter
10,True, False, False,Custom Built,Released Jan 1 2015,Fighting,Fantasy,Single Multiplayer & Co-Op,9.0,1 v, http://indiedb.com/games/grand-class-melee-2
16,True, False, True,Unity,Released Aug 8 2014,Arcade,Sci-Fi,Single Player,1.0,1 v, http://indiedb.com/games/its-time-to-get-out-from-the-solar-system
18,True, False, False,Quake Engine,Released 2012,First Person Shooter,Sci-Fi,Single & Multiplayer,9.6,35 , http://indiedb.com/games/no-bugs-allowed
20,True, True, True,Unity,Released Aug 17 2015,Platformer,Fantasy,Single Player,8.5,2 v, http://indiedb.com/games/try-die-repeat
24,True, False, False,GameMaker: Studio,Released Apr 22 2015,Platformer,Horror,Single Player,9.0,1 v, http://indiedb.com/games/burn-it-down
25,True, True, False,Custom Built,Released 2007,Third Person Shooter,Sci-Fi,Single Player,8.3,6 v, http://indiedb.com/games/devastro
27,True, False, False,XNA,Released Feb 20 2014,Role Playing,Horror,Single Player,9.0,36 , http://indiedb.com/games/survivalist
29,True, False, False,FPSC,Released Feb 15 2015,Adventure,Horror,Single Player,7.9,12 , http://indiedb.com/games/dead-darkness
30,True, False, False,Unreal Engine 4,Released Dec 15 2014,First Person Shooter,War,Single Player,4.5,2 v, http://indiedb.com/games/wolfenstein-3d-remake
31,True, False, False,Custom Built,Released Jan 8 2015,Adventure,Sci-Fi,Single Player,10.0,1 v, http://indiedb.com/games/grav-bitmonster
32,True, False, False,Custom Built,Released Nov 20 2014,Futuristic Sim,Sci-Fi,Multiplayer,9.0,1 v, http://indiedb.com/games/fractured-space
49,True, True, True,Unity,Released Jan 1 2015,First Person Shooter,War,Single & Multiplayer,9.5,2 v, http://indiedb.com/games/into-the-war
52,True, True, True,Unity,Released Sep 22 2013,Real Time Tactics,Horror,Single Player,8.0,20 , http://indiedb.com/games/conniption
55,True, False, False,GameMaker: Studio,Released May 20 2013,Adventure,Noire,Single Player,6.2,9 v, http://indiedb.com/games/samurai-jazz
56,True, False, False,Unity,Released Jan 25 2015,Arcade,Abstract,Co-op,10.0,1 v, http://indiedb.com/games/bear-with-us
78,True, True, True,Custom Built,Released 2004,Platformer,Anime,Single Player,9.5,316, http://indiedb.com/games/cave-story
82,True, True, True,Unity,Released Oct 29 2014,Tower Defense,Sci-Fi,Single Player,2.0,1 v, http://indiedb.com/games/def
84,True, True, True,Unity,Released Jan 18 2015,Adventure,Horror,Single Player,6.0,1 v, http://indiedb.com/games/the-static-speaks-my-name
93,True, False, False,GameMaker: Studio,Released 2012,Platformer,Abstract,Single Player,9.0,4 v, http://indiedb.com/games/invertical
