No Score | Business / Tycoon | geniu-the-tech-tycoon-game |
8.6 | Automobile | geoff-crammonds-grand-prix-4 |
6.3 | Top-Down | geometry-wars-3-dimensions |
8.8 | Static | geometry-wars-retro-evolved |
2.6 | Action | gettysburg-armored-warfare |
8.0 | Fantasy | ghost-master |
No Score | Adventure Games | ghost-pirates-of-vooju-island |
No Score | Puzzle | ghost-in-the-sheet |
4.7 | Action Adventure | ghostbusters-sanctum-of-slime |
7.6 | General | ghostbusters-the-video-game |
7.9 | 2D | giana-sisters-twisted-dreams |
8.1 | 2D | giana-sisters-twisted-dreams---rise-of-the-owlverlord |
8.8 | Arcade | giants-citizen-kabuto |
7.0 | General | gigantic-army |
7.2 | 2D | gish |
6.6 | 2D | gladiator-sword-of-vengeance |
4.9 | Real-Time Strategy | gladiators-of-rome |
6.5 | 2D | glare |
7.9 | Massively Multiplayer | global-agenda |
8.6 | Tactical Shooters | global-operations |
