No Score | General | great-invasions-the-darkages-350-1066-ad |
No Score | Historic | great-war-nations-the-spartans |
7.1 | Modern | greed-corp |
No Score | Other Strategy Games | green-berets |
7.7 | Modern | grey-goo |
3.9 | General | greys-anatomy-the-video-game |
9.1 | Fantasy | grim-fandango |
No Score | General | grom-terror-in-tibet |
6.4 | Turn-Based Strategy | grotesque-tactics-2-dungeons-donuts
 |
5.7 | Turn-Based Strategy | grotesque-tactics-evil-heroes |
7.8 | Sci-Fi | ground-control |
8.8 | General | ground-control-ii-operation-exodus |
6.8 | Sci-Fi | ground-control-dark-conspiracy |
7.3 | 2D | guacamelee!-gold-edition |
6.3 | 2D | guacamelee!-super-turbo-championship-edition |
7.2 | Turn-Based Strategy | guardians-of-graxia |
5.8 | MOBA | guardians-of-middle-earth |
8.3 | General | guild-wars |
7.9 | Fantasy | guild-wars-2 |
8.4 | General | guild-wars-factions |
8.7 | General | guild-wars-nightfall |
8.5 | General | guild-wars-eye-of-the-north |
7.0 | Music | guitar-hero-iii-legends-of-rock |
6.1 | Music | guitar-hero-aerosmith |
5.3 | Action | gumboy-crazy-adventures |
8.0 | Historic | gun |
4.3 | General | guncraft |
7.4 | General | gunman-chronicles |
8.3 | Puzzle | gunpoint |
6.7 | General | guns-of-icarus |
8.9 | Action | guns-of-icarus-online |
7.4 | Puzzle | gyromancer |
5.4 | 2D | hack-n-slash |
7.0 | Action RPG | half-minute-hero-the-second-coming |
9.1 | Arcade | half-life |
9.2 | Sci-Fi | half-life-2 |
8.6 | Arcade | half-life-2-episode-one |
9.2 | Arcade | half-life-2-episode-two |
8.3 | Arcade | half-life-blue-shift |
7.7 | Role-Playing | half-minute-hero-super-mega-neo-climax-ultimate-boy |
5.9 | Sci-Fi | halfway |
5.5 | Arcade | halo-2 |
7.3 | Sci-Fi | halo-combat-evolved |
6.4 | Vertical | halo-spartan-assault |
7.5 | General | hamiltons-great-adventure |
8.1 | Turn-Based Strategy | hammer-sickle
 |
7.7 | General | hammerwatch |
No Score | General | hans-christian-andersen-the-ugly-prince-duckling |
No Score | General | happy-feet |
5.9 | Action RPG | harbinger |
7.3 | Sci-Fi | hard-reset |
8.4 | Car Combat | hard-truck-apocalypse |
6.8 | Western-Style | hard-to-be-a-god |
8.3 | Fantasy | harry-potter-and-the-chamber-of-secrets |
3.7 | Arcade | harry-potter-and-the-deathly-hallows-part-1 |
5.0 | Arcade | harry-potter-and-the-deathly-hallows-part-2 |
3.9 | Fantasy | harry-potter-and-the-goblet-of-fire |
5.9 | Fantasy | harry-potter-and-the-half-blood-prince |
7.2 | Fantasy | harry-potter-and-the-order-of-the-phoenix |
7.3 | Fantasy | harry-potter-and-the-prisoner-of-azkaban |
7.8 | Fantasy | harry-potter-and-the-sorcerers-stone |
8.2 | Other | harry-potter-quidditch-world-cup |
7.9 | General | harvester |
6.9 | Visual Novel | hatoful-boyfriend |
7.7 | General | haunted |
7.8 | General | hawken |
7.0 | Card Battle | hearthstone-curse-of-naxxramas |
6.8 | Card Battle | hearthstone-goblins-vs-gnomes |
6.3 | Card Battle | hearthstone-heroes-of-warcraft |
8.1 | Historic | hearts-of-iron |
8.6 | Military | hearts-of-iron-ii |
8.8 | Military | hearts-of-iron-ii-doomsday |
7.0 | Historic | hearts-of-iron-iii |
5.6 | Real-Time Strategy | hearts-of-iron-iii-semper-fi |
8.5 | Historic | hearts-of-iron-platinum |
7.0 | Turn-Based Strategy | heaven-hell-2003
 |
7.7 | Sci-Fi | heavy-bullets |
7.8 | Arcade | heavy-metal-fakk-2 |
6.8 | General | hector-badge-of-carnage---episode-1-we-negotiate-with-terrorists |
6.7 | General | hector-badge-of-carnage---episode-2-senseless-acts-of-justice |
7.7 | General | hector-badge-of-carnage---episode-3-beyond-reasonable-doom |
8.2 | Sci-Fi | hegemonia-legions-of-iron |
8.5 | Real-Time Strategy | hegemony-philip-of-macedon |
7.4 | 2D | hell-yeah!-wrath-of-the-dead-rabbit |
6.6 | General | helldorado |
6.2 | Role-Playing | hellgate-london |
6.3 | Western-Style | heretic-kingdoms-the-inquisition |
5.7 | Historic | heritage-of-kings-the-settlers |
6.1 | Fantasy | hero-academy |
4.6 | Fantasy | hero-x |
7.7 | General | heroes-chronicles-conquest-of-the-underworld |
8.8 | General | heroes-chronicles-warlords-of-the-wasteland |
7.3 | WWII | heroes-over-europe |
8.1 | Fantasy | heroes-of-annihilated-empires |
7.5 | Fantasy | heroes-of-might-and-magic-iv |
7.8 | General | heroes-of-might-and-magic-iv-the-gathering-storm |
7.6 | Fantasy | heroes-of-might-and-magic-iv-winds-of-war |
7.9 | Fantasy | heroes-of-might-and-magic-v |
8.3 | Fantasy | heroes-of-might-and-magic-v-hammers-of-fate |
8.7 | Fantasy | heroes-of-might-and-magic-v-tribes-of-the-east |
7.4 | MOBA | heroes-of-newerth |
6.7 | WWII | heroes-of-the-pacific |
5.4 | General | hexodius |
8.0 | Tactical Shooters | hidden-dangerous
 |
8.7 | Historic | hidden-dangerous-2
 |
8.3 | Historic | hidden-dangerous-2-sabre-squadron
 |
8.3 | Sim | high-heat-major-league-baseball-2002 |
8.3 | Sim | high-heat-major-league-baseball-2003 |
No Score | Sim | high-heat-major-league-baseball-2004 |
No Score | Historic | highland-warriors |
6.8 | Real-Time Strategy | hinterland |
6.3 | Modern | hired-guns-the-jagged-edge |
8.2 | Modern | hitman-2-silent-assassin |
7.0 | Modern | hitman-absolution |
8.7 | Modern | hitman-blood-money |
