6.0 | Modern | art-of-murder-hunt-for-the-puppeteer |
5.8 | Fantasy | arthur-and-the-invisibles-the-game |
8.2 | Role-Playing | arx-fatalis |
9.1 | Massively Multiplayer | asherons-call |
8.8 | Fantasy | asherons-call-2-fallen-kings |
7.9 | Fantasy | asherons-call-2-legions |
7.9 | Massively Multiplayer | asherons-call-dark-majesty |
7.2 | Fantasy | asherons-call-throne-of-destiny |
6.9 | Other Sports Games | ashes-cricket-2009 |
6.7 | Open-World | assassins-creed-ii |
6.1 | Open-World | assassins-creed-iii |
7.6 | Open-World | assassins-creed-iv-black-flag |
5.8 | Open-World | assassins-creed-liberation-hd |
2.6 | Open-World | assassins-creed-unity |
8.2 | Open-World | assassins-creed-brotherhood |
7.6 | Open-World | assassins-creed-directors-cut-edition |
7.3 | Open-World | assassins-creed-revelations |
8.4 | Automobile | assetto-corsa |
No Score | Puzzle | assimilation |
7.2 | Horizontal | astebreed |
No Score | Puzzle | astroslugs |
7.3 | Compilation | atari-anniversary-edition |
No Score | Compilations | atari-revival |
5.1 | Compilations | atari-80-classic-games-in-one |
6.3 | Olympic Sports | athens-2004 |
No Score | Adventure Games | atlantis-evolution |
No Score | Puzzle | atlantis-quest |
7.1 | General | atom-zombie-smasher |
6.6 | WWII | attack-on-pearl-harbor |
8.8 | Music | audiosurf |
6.0 | Fantasy | aura-fate-of-the-ages |
6.3 | Other Strategy Games | austerlitz-napoleons-greatest-victory |
8.5 | Massively Multiplayer | auto-assault |
7.5 | General | avadon-2-the-corruption |
7.8 | PC-style RPG | avadon-the-black-fortress |
7.5 | Action RPG | avencast-rise-of-the-mage |
8.1 | General | avernum-escape-from-the-pit |
8.1 | MOBA | awesomenauts |
8.7 | Military | axis-allies
 |
7.3 | WWII | b-17-flying-fortress-the-mighty-8th |
No Score | WWII | b-17-gunner-air-war-over-germany |
No Score | Other Strategy Games | bct-commander |
7.0 | General | back-to-bed |
7.0 | Third-Person | back-to-the-future-the-game---episode-i-its-about-time |
7.2 | Third-Person | back-to-the-future-the-game---episode-ii-get-tannen! |
5.6 | Third-Person | back-to-the-future-the-game---episode-iii-citizen-brown |
5.9 | Third-Person | back-to-the-future-the-game---episode-iv-double-visions |
7.1 | Third-Person | back-to-the-future-the-game---episode-v-outatime |
5.0 | General | bad-bots |
6.6 | General | bad-mojo |
7.0 | General | bad-mojo-redux |
9.0 | Western-Style | baldurs-gate |
7.8 | Western-Style | baldurs-gate-ii-enhanced-edition |
9.3 | Western-Style | baldurs-gate-ii-shadows-of-amn |
8.9 | PC-style RPG | baldurs-gate-ii-throne-of-bhaal |
7.1 | Western-Style | baldurs-gate-enhanced-edition |
7.6 | Futuristic | ballistics |
7.6 | Car Combat | bandits-phoenix-rising |
No Score | Small Spaceship | bang!-gunship-elite |
8.2 | Modern | banished |
No Score | General | barnyard |
7.8 | Modern | barrow-hill-curse-of-the-ancient-circle |
No Score | Baseball | baseball-mogul-2002 |
7.3 | Management | baseball-mogul-2003 |
5.4 | Management | baseball-mogul-2004 |
8.2 | Baseball | baseball-mogul-2006 |
7.8 | Management | baseball-mogul-2007 |
6.5 | Baseball | baseball-mogul-2008 |
No Score | Baseball | baseball-mogul-2009 |
No Score | Management | basketball-pro-management-2015 |
8.6 | Action RPG | bastion |
8.7 | Fantasy | batman-arkham-asylum |
8.6 | Open-World | batman-arkham-city |
7.5 | Open-World | batman-arkham-origins |
7.0 | Open-World | batman-arkham-origins---cold-cold-heart |
5.9 | Fantasy | batman-arkham-origins-blackgate---deluxe-edition |
7.5 | Fantasy | batman-vengeance |
6.2 | General | battle-academy-2-eastern-front |
6.2 | Sci-Fi | battle-engine-aquila |
8.3 | Sci-Fi | battle-isle-the-andosia-war |
8.5 | Fantasy | battle-realms |
8.3 | Fantasy | battle-realms-winter-of-the-wolf |
No Score | Fantasy | battle-slots |
7.1 | Sci-Fi | battle-worlds-kronos |
4.0 | WWII | battle-of-britain-ii-wings-of-victory |
No Score | Historic | battle-of-europe |
3.1 | Sci-Fi | battle-los-angeles |
7.8 | 2D | battleblock-theater |
7.0 | Fantasy | battleforge |
5.7 | General | battlecruiser-millennium |
8.6 | Historic | battlefield-1942 |
8.5 | Historic | battlefield-1942-secret-weapons-of-wwii |
7.9 | Historic | battlefield-1942-the-road-to-rome |
8.4 | Modern | battlefield-2 |
6.7 | Sci-Fi | battlefield-2142 |
9.3 | Sci-Fi | battlefield-2142-northern-strike |
6.7 | Modern | battlefield-2-euro-force |
8.0 | Modern | battlefield-2-special-forces |
7.4 | Arcade | battlefield-3 |
7.7 | Arcade | battlefield-3-aftermath |
