8.2 | General | splitsecond |
7.3 | Party | spongebob-squarepants-lights-camera-pants! |
5.1 | Breeding/Constructing | spore |
8.1 | Breeding/Constructing | spore-creature-creator |
4.9 | Breeding/Constructing | spore-creepy-cute-parts-pack
 |
7.0 | Breeding/Constructing | spore-galactic-adventures |
8.4 | Other Strategy Games | spring-break |
7.8 | Mission-based | spy-hunter |
No Score | Historic | squad-assault-second-wave |
No Score | Real-Time Strategy | squad-assault-west-front |
No Score | General | squad-leader |
5.6 | Gambling | stacked-with-daniel-negreanu |
7.9 | Puzzle | stacking |
3.7 | Real-Time Strategy | stalin-vs-martians |
8.5 | Sci-Fi | star-chamber |
7.6 | General | star-conflict |
5.0 | General | star-control-3 |
7.8 | Sci-Fi | star-trek-away-team |
8.0 | Futuristic Combat Sims | star-trek-bridge-commander |
No Score | General | star-trek-conquest-online |
6.2 | Massively Multiplayer | star-trek-online |
8.5 | Massively Multiplayer | star-trek-online-legacy-of-romulus |
7.6 | Other Strategy Games | star-trek-starfleet-command-orion-pirates |
2.3 | Action Adventure | star-trek-the-video-game |
8.2 | Other Strategy Games | star-trek-armada-ii |
4.0 | General | star-trek-d-a-c |
6.3 | Other Strategy Games | star-trek-deep-space-nine-dominion-wars |
7.9 | Other Shooters | star-trek-deep-space-nine-the-fallen |
7.5 | Sci-Fi | star-trek-elite-force-ii |
7.0 | Large Spaceship | star-trek-klingon-academy |
3.8 | Large Spaceship | star-trek-legacy |
7.4 | Other Strategy Games | star-trek-new-worlds |
7.5 | Large Spaceship | star-trek-starfleet-command-iii |
8.1 | Arcade | star-trek-voyager-elite-force |
8.0 | First-Person Shooters | star-trek-voyager-elite-force-expansion-pack |
8.0 | Sci-Fi | star-wars-galactic-battlegrounds-clone-campaigns |
5.6 | Massively Multiplayer | star-wars-galaxies-an-empire-divided |
